Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.002
Vertical Position,-0.26
,
,
,
Label,
TIME,CH2
-1.0000e-03,0.00168031
-9.9980e-04,0.00167375
-9.9960e-04,0.00165625
-9.9940e-04,0.00192594
-9.9920e-04,0.00179281
-9.9900e-04,0.00175094
-9.9880e-04,0.00139531
-9.9860e-04,0.0017325
-9.9840e-04,0.00161031
-9.9820e-04,0.00200937
-9.9800e-04,0.00186563
-9.9780e-04,0.00174781
-9.9760e-04,0.001705
-9.9740e-04,0.00200531
-9.9720e-04,0.00175094
-9.9700e-04,0.00188438
-9.9680e-04,0.00181781
-9.9660e-04,0.00182719
-9.9640e-04,0.00176813
-9.9620e-04,0.00173594
-9.9600e-04,0.001635
-9.9580e-04,0.00168594
-9.9560e-04,0.00171656
-9.9540e-04,0.0020225
-9.9520e-04,0.00195469
-9.9500e-04,0.00157906
-9.9480e-04,0.00177906
-9.9460e-04,0.00161656
-9.9440e-04,0.00203938
-9.9420e-04,0.00163281
-9.9400e-04,0.00189281
-9.9380e-04,0.00179344
-9.9360e-04,0.00158469
-9.9340e-04,0.00180344
-9.9320e-04,0.00178938
-9.9300e-04,0.00158156
-9.9280e-04,0.00165563
-9.9260e-04,0.00182969
-9.9240e-04,0.00162406
-9.9220e-04,0.00171281
-9.9200e-04,0.00168313
-9.9180e-04,0.00178063
-9.9160e-04,0.0017875
-9.9140e-04,0.00190469
-9.9120e-04,0.00182188
-9.9100e-04,0.00194969
-9.9080e-04,0.00211125
-9.9060e-04,0.00172406
-9.9040e-04,0.00180281
-9.9020e-04,0.00169
-9.9000e-04,0.00183563
-9.8980e-04,0.00154844
-9.8960e-04,0.00186375
-9.8940e-04,0.00178969
-9.8920e-04,0.00168031
-9.8900e-04,0.00174563
-9.8880e-04,0.00207156
-9.8860e-04,0.00181719
-9.8840e-04,0.00191031
-9.8820e-04,0.00185938
-9.8800e-04,0.00178938
-9.8780e-04,0.00177
-9.8760e-04,0.00178438
-9.8740e-04,0.00184313
-9.8720e-04,0.00145969
-9.8700e-04,0.00172031
-9.8680e-04,0.00202375
-9.8660e-04,0.00195469
-9.8640e-04,0.00145969
-9.8620e-04,0.00174094
-9.8600e-04,0.00179031
-9.8580e-04,0.00201
-9.8560e-04,0.00184219
-9.8540e-04,0.00160531
-9.8520e-04,0.00188531
-9.8500e-04,0.00180719
-9.8480e-04,0.00179875
-9.8460e-04,0.00166656
-9.8440e-04,0.00186094
-9.8420e-04,0.00179625
-9.8400e-04,0.00177406
-9.8380e-04,0.0019575
-9.8360e-04,0.00191063
-9.8340e-04,0.00148438
-9.8320e-04,0.00176438
-9.8300e-04,0.0019175
-9.8280e-04,0.00165906
-9.8260e-04,0.001775
-9.8240e-04,0.00171938
-9.8220e-04,0.00180313
-9.8200e-04,0.00186313
-9.8180e-04,0.00165156
-9.8160e-04,0.00195719
-9.8140e-04,0.00188813
-9.8120e-04,0.00165063
-9.8100e-04,0.00156656
-9.8080e-04,0.00173563
-9.8060e-04,0.00192906
-9.8040e-04,0.00160281
-9.8020e-04,0.00210938
-9.8000e-04,0.0017575
-9.7980e-04,0.00149906
-9.7960e-04,0.00180063
-9.7940e-04,0.00186969
-9.7920e-04,0.00180563
-9.7900e-04,0.00177563
-9.7880e-04,0.00190438
-9.7860e-04,0.00155063
-9.7840e-04,0.00186063
-9.7820e-04,0.00181688
-9.7800e-04,0.00175531
-9.7780e-04,0.0018325
-9.7760e-04,0.00162063
-9.7740e-04,0.00184625
-9.7720e-04,0.00161156
-9.7700e-04,0.001865
-9.7680e-04,0.00177156
-9.7660e-04,0.00170906
-9.7640e-04,0.00178531
-9.7620e-04,0.00178031
-9.7600e-04,0.00170813
-9.7580e-04,0.00172781
-9.7560e-04,0.00161531
-9.7540e-04,0.00154125
-9.7520e-04,0.00190875
-9.7500e-04,0.00168875
-9.7480e-04,0.00156188
-9.7460e-04,0.00171375
-9.7440e-04,0.00162031
-9.7420e-04,0.00197281
-9.7400e-04,0.00197219
-9.7380e-04,0.00140531
-9.7360e-04,0.0014975
-9.7340e-04,0.00184281
-9.7320e-04,0.00177875
-9.7300e-04,0.00182219
-9.7280e-04,0.00165875
-9.7260e-04,0.00188531
-9.7240e-04,0.00186344
-9.7220e-04,0.00172906
-9.7200e-04,0.00188688
-9.7180e-04,0.00188688
-9.7160e-04,0.0020025
-9.7140e-04,0.00172219
-9.7120e-04,0.00150875
-9.7100e-04,0.00163188
-9.7080e-04,0.00144906
-9.7060e-04,0.00170031
-9.7040e-04,0.00165875
-9.7020e-04,0.00199438
-9.7000e-04,0.00160563
-9.6980e-04,0.0018375
-9.6960e-04,0.001825
-9.6940e-04,0.00184281
-9.6920e-04,0.00188688
-9.6900e-04,0.00182406
-9.6880e-04,0.00192281
-9.6860e-04,0.00168938
-9.6840e-04,0.00163656
-9.6820e-04,0.00172594
-9.6800e-04,0.00183031
-9.6780e-04,0.00196219
-9.6760e-04,0.00175344
-9.6740e-04,0.00176156
-9.6720e-04,0.00183406
-9.6700e-04,0.00169844
-9.6680e-04,0.00207063
-9.6660e-04,0.00186625
-9.6640e-04,0.00162125
-9.6620e-04,0.00175031
-9.6600e-04,0.00178594
-9.6580e-04,0.00165344
-9.6560e-04,0.00164125
-9.6540e-04,0.00164938
-9.6520e-04,0.00170531
-9.6500e-04,0.00184344
-9.6480e-04,0.0015375
-9.6460e-04,0.00159906
-9.6440e-04,0.00185656
-9.6420e-04,0.00144969
-9.6400e-04,0.00172813
-9.6380e-04,0.00177688
-9.6360e-04,0.00172906
-9.6340e-04,0.00156
-9.6320e-04,0.00155
-9.6300e-04,0.00171844
-9.6280e-04,0.00182563
-9.6260e-04,0.00179625
-9.6240e-04,0.001425
-9.6220e-04,0.00163313
-9.6200e-04,0.00173094
-9.6180e-04,0.00157906
-9.6160e-04,0.00176375
-9.6140e-04,0.0016675
-9.6120e-04,0.00159969
-9.6100e-04,0.00181125
-9.6080e-04,0.0018125
-9.6060e-04,0.00159219
-9.6040e-04,0.0017325
-9.6020e-04,0.00178375
-9.6000e-04,0.00173531
-9.5980e-04,0.001695
-9.5960e-04,0.00175156
-9.5940e-04,0.00187969
-9.5920e-04,0.00164625
-9.5900e-04,0.00173875
-9.5880e-04,0.00166531
-9.5860e-04,0.00183063
-9.5840e-04,0.00164031
-9.5820e-04,0.00172063
-9.5800e-04,0.00177313
-9.5780e-04,0.00163844
-9.5760e-04,0.00153906
-9.5740e-04,0.00176063
-9.5720e-04,0.00172531
-9.5700e-04,0.00173188
-9.5680e-04,0.00169406
-9.5660e-04,0.00208719
-9.5640e-04,0.0015275
-9.5620e-04,0.00154875
-9.5600e-04,0.00185
-9.5580e-04,0.00179031
-9.5560e-04,0.00184063
-9.5540e-04,0.00169719
-9.5520e-04,0.00164281
-9.5500e-04,0.0016275
-9.5480e-04,0.00169719
-9.5460e-04,0.00172813
-9.5440e-04,0.00178156
-9.5420e-04,0.00150906
-9.5400e-04,0.00163469
-9.5380e-04,0.001575
-9.5360e-04,0.00178969
-9.5340e-04,0.00168938
-9.5320e-04,0.00173906
-9.5300e-04,0.00150656
-9.5280e-04,0.00177031
-9.5260e-04,0.00166438
-9.5240e-04,0.00168031
-9.5220e-04,0.001715
-9.5200e-04,0.00167438
-9.5180e-04,0.00161625
-9.5160e-04,0.00178031
-9.5140e-04,0.00194531
-9.5120e-04,0.00190656
-9.5100e-04,0.0018575
-9.5080e-04,0.00185063
-9.5060e-04,0.00172813
-9.5040e-04,0.00176625
-9.5020e-04,0.00185625
-9.5000e-04,0.00166281
-9.4980e-04,0.00170813
-9.4960e-04,0.00147281
-9.4940e-04,0.00185688
-9.4920e-04,0.00146438
-9.4900e-04,0.00158938
-9.4880e-04,0.00194219
-9.4860e-04,0.00186563
-9.4840e-04,0.001975
-9.4820e-04,0.00174531
-9.4800e-04,0.00186188
-9.4780e-04,0.00164
-9.4760e-04,0.00184531
-9.4740e-04,0.00192781
-9.4720e-04,0.00162844
-9.4700e-04,0.00177969
-9.4680e-04,0.00171563
-9.4660e-04,0.00174625
-9.4640e-04,0.00183844
-9.4620e-04,0.00176969
